Text,Speaker,Episode,Season,Show,sentiment_score,sentiment_label,mapped,bracket
" What d’you expect? They’re savages. One lot steals a goat from another lot and before you know it, they’re ripping each other to pieces.",WAYMAR ROYCE,e1-Winter is Coming,season-01,Game-of-Thrones,2.8435957431793213,NEGATIVE,waymar royce,
" I’ve never seen wildlings do a thing like this. I’ve never seen a thing like this, not ever in my life.",WILL,e1-Winter is Coming,season-01,Game-of-Thrones,2.7630560398101807,POSITIVE,will,
 How close did you get?,WAYMAR ROYCE,e1-Winter is Coming,season-01,Game-of-Thrones,0.5826964378356934,NEGATIVE,waymar royce,
 Close as any man would.,WILL,e1-Winter is Coming,season-01,Game-of-Thrones,2.810487985610962,POSITIVE,will,
 We should head back to the wall.,GARED,e1-Winter is Coming,season-01,Game-of-Thrones,3.2635529041290283,NEGATIVE,gared,
 Our orders were to track the wildlings. We tracked them. They won’t trouble us no more.,GARED,e1-Winter is Coming,season-01,Game-of-Thrones,3.7614381313323975,POSITIVE,gared,
 Whatever did it to them could do it to us. They even killed the children.,WILL,e1-Winter is Coming,season-01,Game-of-Thrones,3.3533260822296143,NEGATIVE,will,
 They were here.,WILL,e1-Winter is Coming,season-01,Game-of-Thrones,2.867549419403076,POSITIVE,will,
 See where they went.,GARED,e1-Winter is Coming,season-01,Game-of-Thrones,3.5018908977508545,POSITIVE,gared,
 It’s …,GARED,e1-Winter is Coming,season-01,Game-of-Thrones,3.188484907150269,POSITIVE,gared,
 Go on. Father’s watching.,JON,e1-Winter is Coming,season-01,Game-of-Thrones,3.178272247314453,POSITIVE,jon snow,
 And your mother.,JON,e1-Winter is Coming,season-01,Game-of-Thrones,2.477226734161377,POSITIVE,jon snow,
 Thank you.,SANSA,e1-Winter is Coming,season-01,Game-of-Thrones,4.572116374969482,POSITIVE,sansa stark,
" Don’t think too much, Bran.",JON,e1-Winter is Coming,season-01,Game-of-Thrones,4.272757053375244,NEGATIVE,jon snow,
 Relax your bow arm.,ROBB,e1-Winter is Coming,season-01,Game-of-Thrones,0.7246644496917725,POSITIVE,robb stark,
 Do you have to?,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones,1.6801526546478271,NEGATIVE,catelyn stark,
 Ned. Ten is too young to see such things.,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones,2.716757774353028,NEGATIVE,catelyn stark,
" Lad, go run back and get the rest.",ROBB,e1-Winter is Coming,season-01,Game-of-Thrones,1.5732083320617676,NEGATIVE,robb stark,
