speaker,final_accumulative_sentiment,final_average_sentiment
waymar royce,-3.4262921810150146,-1.0
gared,7.188261032104492,0.5
will,6.0154783725738525,0.42857142857142855
jonos bracken,-5.285157918930054,-1.0
galbart glover,-3.392927885055542,-1.0
leo lefford,-4.454357147216797,-1.0
addam marbrand,-0.6979851424694061,-1.0
myrcella baratheon,-2.710389852523804,-1.0
jhiqui,6.130354881286621,1.0
mycah,4.74691116809845,0.5
benjen stark,6.174734532833099,0.07692307692307693
old nan,-1.5493827760219574,-0.2
hugh of the vale,-4.166568756103516,-0.3333333333333333
tobho mott,0.17158198356628462,-0.2
masha heddle,-6.1698784828186035,-0.3333333333333333
marillion,3.6211721897125244,0.0
illyrio mopatis,-8.144737720489502,-0.5
vardis egen,-1.021856665611267,-0.2
loras tyrell,-0.3275913000106776,0.0
mhaegen,5.901263803243637,0.0
jory cassel,23.661505430936813,0.16129032258064516
bran stark,-30.466267958283424,-0.19047619047619047
mord,-22.91023537516594,-0.6
beric dondarrion,3.185772657394409,1.0
mordane,15.300711333751678,0.5555555555555556
viserys targaryen,-29.019194081425667,-0.36
robert baratheon,-63.660839572548866,-0.24489795918367346
wine merchant,10.845449328422546,0.5
jaremy rykker,3.256415605545044,1.0
renly baratheon,-3.827583134174347,-0.06666666666666667
tomard,4.114112854003906,1.0
varly,-3.8322136402130127,-1.0
syrio forel,-14.35700149834156,-0.2413793103448276
sandor clegane,-12.835626006126404,-0.4
stable boy,12.242489337921143,1.0
robin arryn,-9.890217185020447,-0.4
lysa arryn,17.306513011455536,0.0967741935483871
mago,-8.86993134021759,-1.0
rickon stark,-4.61909830570221,-0.14285714285714285
pypar,-3.407450199127197,-0.3333333333333333
shagga,-12.87233516573906,-1.0
stark guard,2.9818363189697266,1.0
lannister scout,5.126153647899628,1.0
cersei lannister,13.017528653144836,0.0967741935483871
petyr baelish,50.30849798023701,0.10714285714285714
eddard stark,-100.11162093281746,-0.17446808510638298
stevron frey,0.6587929725646973,1.0
ryger rivers,2.8387153148651123,1.0
jeor mormont,0.3527835085988045,-0.11764705882352941
samwell tarly,-53.63540241122246,-0.3
cohollo,-0.1307729482650756,-1.0
mirri maz duur,2.676643833518029,0.13043478260869565
qotho,-32.241964638233185,-0.7333333333333333
jorah mormont,48.65179980546236,0.08888888888888889
tywin lannister,-34.17640286684036,-0.3333333333333333
tyrion lannister,-26.972142189741135,-0.0707070707070707
rodrik cassel,17.42870330810547,0.7142857142857143
jaime lannister,-60.94861250370741,-0.34375
catelyn stark,-29.35004499554634,-0.12396694214876033
greatjon umber,-9.142285786569118,-0.3333333333333333
theon greyjoy,-6.8944816291332245,-0.1044776119402985
robb stark,-32.43474633991718,-0.16483516483516483
joffrey baratheon,14.322007894515991,0.08
arya stark,-99.303192704916,-0.3469387755102041
sansa stark,-66.89658337831497,-0.2727272727272727
portan,3.545463800430298,1.0
rakharo,-16.710064560174942,-0.42857142857142855
cressen,2.804572343826294,-0.14285714285714285
drogo,-1.393967986106873,-0.2
colen,3.220637083053589,1.0
timett,-2.437857389450073,-1.0
yoren,-40.064172983169556,-0.36585365853658536
lommy,5.524252891540527,0.3333333333333333
rennick,-13.800382137298584,-0.6
wounded soldier,-8.433560371398926,-0.42857142857142855
daisy,19.176479816436768,0.6666666666666666
tickler,-21.122578263282776,-0.6923076923076923
protester,-7.745051383972168,-1.0
reginald,-3.9631569385528564,-0.3333333333333333
haylene,6.668498277664185,0.5
doreah,21.353644400835037,0.2972972972972973
irri,19.028377026319504,0.25
kovarro,-1.658115655183794,0.0
quaithe,10.674312591552734,1.0
gold cloak,2.5830295458436017,0.09090909090909091
farlen,-4.264705061912537,-1.0
amory,-21.746149629354477,-0.6923076923076923
quent,4.572968482971191,1.0
black lorren,0.6473678946495056,0.0
winterfell shepherd,-6.68918776512146,-0.6
alton,32.2794571518898,0.29411764705882354
silk king,-3.144712209701538,-1.0
pyat pree,2.6178927421569824,1.0
spice king,-11.28504228591919,-0.09090909090909091
xaro,24.27074245736003,0.13636363636363635
jacks,4.5802223682403564,0.5
qhorin,-22.116644397377968,-0.2
dagmer,12.598311007022858,0.15789473684210525
luwin,-6.9621532931923875,0.0
matthos,33.59216384589672,0.4
mandon,3.537330389022827,1.0
salladhor,-9.24048125743866,-0.3333333333333333
unsullied,4.365337371826172,1.0
kraznys mo nakloz,-11.724507123231888,0.2
frey soldier,-10.903689861297607,-0.5
frey soldier #2,-7.518298864364624,-0.5
