Name,Born,Died,House(s),Affiliation(s),Title(s),Culture,Father,Mother,Sibling(s),Series,Season(s),Appeared in,First seen in,Last seen in,Died in,Portrayed by,Spouse(s),Religion,Issue,Also known as,Personal arms,Species,Affiliation,Lover(s),Family,Dead
Aemon,"Aemon Targaryen 202 AC Red Keep , King's Landing","302 AC (aged 100) Castle Black , the Gift",Targaryen (renounced),"['Order of Maesters', ""Night's Watch""]",Prince (formerly) Maester,Valyrian,{ Maekar I Targaryen },{ Dyanna Dayne },{ Daeron Targaryen } { Aerion Targaryen } { Aegon V Targaryen },Game of Thrones,1 · 3 · 4 · 5,11 episodes ( see below ),""" Lord Snow """,""" The Gift ""","""The Gift""",Peter Vaughan,,,,,,,,,,1
Aggar,,"299 AC Winterfell , the North",,['Greyjoy'],,Ironborn,,,,Game of Thrones,2,""" Valar Morghulis """,,,,,,,,,,,,,,1
Aggo (The North Remembers),,,,"['Drogo', 'Targaryen']",Bloodrider,Dothraki,,,,Game of Thrones,2,""" The North Remembers """,,,,Niccolai McKinsky,,,,,,,,,,0
Aggo (The Red Woman),,"303 AC Vaes Dothrak , Dothraki Sea",,['Moro'],,Dothraki,,,,Game of Thrones,6,2 episodes ( see below ),""" The Red Woman """,""" Book of the Stranger ""","""Book of the Stranger""",Chuku Modu,,,,,,,,,,1
Alanna,,"305 AC King's Landing , the Crownlands",,['Unknown'],,,,,,Game of Thrones,8,""" The Bells "" (corpse)",,,,Kim Chapman,Husband,,,,,,,,,1
Allo,,,,"[""Night's Watch""]",,,,,,Game of Thrones,1,""" You Win or You Die """,,,,,,,,,,,,,,0
Anara,,,,['Unknown'],,,,,,Game of Thrones,5,""" The Dance of Dragons """,,,,Ollie Kram,,,,,,,,,,0
Anguy,"Dornish Marches , the Stormlands",,,['Brotherhood Without Banners'],,Marcher,,,,Game of Thrones,3,6 episodes ( see below ),""" Dark Wings, Dark Words """,""" The Bear and the Maiden Fair """,,Philip McGinley,,Lord of Light,,,,,,,,0
Archmaester (Eastwatch),,,,['Order of Maesters'],Archmaester,,,,,Game of Thrones,7,""" Eastwatch """,,,,Philip O'Sullivan,,,,,,,,,,0
Armeca,"Flea Bottom , King's Landing",,,['Petyr Baelish'],,Crownlander,,,,Game of Thrones,1 · 2,4 episodes ( see below ),""" You Win or You Die """,""" Blackwater """,,Sahara Knite,,,,,,,,,,0
Jon Arryn,"The Eyrie , the Vale of Arryn","298 AC Red Keep , King's Landing",Arryn,"['Targaryen', 'Baratheon']",Lord of the Eyrie Defender of the Vale Warden of the East Hand of the King,Valemen,{ Jasper Arryn },,,Game of Thrones,1,""" Winter Is Coming "" (corpse)",,,"""Winter Is Coming""",John Standing,{ Lysa Tully },Faith of the Seven,Robin Arryn,,,,,,,1
