Text,Speaker,Episode,Season,Show,sentiment_score,sentiment_label,mapped,bracket,accumulative_sentiment,average_sentiment
" What d’you expect? They’re savages. One lot steals a goat from another lot and before you know it, they’re ripping each other to pieces.",WAYMAR ROYCE,e1-Winter is Coming,season-01,Game-of-Thrones,2.8435957431793213,NEGATIVE,waymar royce,,-2.8435957431793213,-1.0
" I’ve never seen wildlings do a thing like this. I’ve never seen a thing like this, not ever in my life.",WILL,e1-Winter is Coming,season-01,Game-of-Thrones,2.7630560398101807,POSITIVE,will,,2.7630560398101807,1.0
 How close did you get?,WAYMAR ROYCE,e1-Winter is Coming,season-01,Game-of-Thrones,0.5826964378356934,NEGATIVE,waymar royce,,-3.4262921810150146,-1.0
 Close as any man would.,WILL,e1-Winter is Coming,season-01,Game-of-Thrones,2.810487985610962,POSITIVE,will,,5.573544025421143,1.0
 We should head back to the wall.,GARED,e1-Winter is Coming,season-01,Game-of-Thrones,3.2635529041290283,NEGATIVE,gared,,-3.2635529041290283,-1.0
 Our orders were to track the wildlings. We tracked them. They won’t trouble us no more.,GARED,e1-Winter is Coming,season-01,Game-of-Thrones,3.7614381313323975,POSITIVE,gared,,0.49788522720336914,0.0
 Whatever did it to them could do it to us. They even killed the children.,WILL,e1-Winter is Coming,season-01,Game-of-Thrones,3.3533260822296143,NEGATIVE,will,,2.2202179431915283,0.3333333333333333
 They were here.,WILL,e1-Winter is Coming,season-01,Game-of-Thrones,2.867549419403076,POSITIVE,will,,5.0877673625946045,0.5
 See where they went.,GARED,e1-Winter is Coming,season-01,Game-of-Thrones,3.5018908977508545,POSITIVE,gared,,3.9997761249542236,0.3333333333333333
 It’s …,GARED,e1-Winter is Coming,season-01,Game-of-Thrones,3.188484907150269,POSITIVE,gared,,7.188261032104492,0.5
" And which one of you was a marksman at ten? Keep practicing, Bran. Go on.",NED,e1-Winter is Coming,season-01,Game-of-Thrones,0.4186789095401764,NEGATIVE,ned,,-0.4186789095401764,-1.0
 Get the lads to saddle their horses.,NED,e1-Winter is Coming,season-01,Game-of-Thrones,-0.0861099511384964,NEGATIVE,ned,,-0.33256895840168,-1.0
" He swore an oath, Cat.",NED,e1-Winter is Coming,season-01,Game-of-Thrones,0.3050587177276611,POSITIVE,ned,,-0.027510240674018915,-0.3333333333333333
" Tell Bran he’s coming, too.",NED,e1-Winter is Coming,season-01,Game-of-Thrones,2.969658136367798,POSITIVE,ned,,2.942147895693779,0.0
 He won’t be a boy forever. And winter is coming.,NED,e1-Winter is Coming,season-01,Game-of-Thrones,3.092280864715576,POSITIVE,ned,,6.034428760409355,0.2
" White Walkers. I saw the White Walkers. White Walkers. The White Walkers, I saw them.",WILL (muttering),e1-Winter is Coming,season-01,Game-of-Thrones,0.7833280563354492,POSITIVE,will,muttering,5.871095418930054,0.6
" I know I broke my oath. And I know I’m a deserter. I should have gone back to the Wall and warned them. But I saw what I saw. I saw the White Walkers. People need to know. If you can get word to my family, tell them I’m no coward. Tell them I’m sorry.",WILL,e1-Winter is Coming,season-01,Game-of-Thrones,1.3144155740737915,POSITIVE,will,,7.185510993003845,0.6666666666666666
" Forgive me, lord.",WILL (whispering),e1-Winter is Coming,season-01,Game-of-Thrones,1.170032620429993,NEGATIVE,will,whispering,6.0154783725738525,0.42857142857142855
" In the name of Robert of the House Baratheon, first of his name …",NED,e1-Winter is Coming,season-01,Game-of-Thrones,1.7431671619415283,POSITIVE,ned,,7.7775959223508835,0.3333333333333333
 King of the Andals and the First Men …,NED,e1-Winter is Coming,season-01,Game-of-Thrones,3.27644944190979,POSITIVE,ned,,11.054045364260674,0.42857142857142855
" Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die.",NED,e1-Winter is Coming,season-01,Game-of-Thrones,1.962032914161682,NEGATIVE,ned,,9.092012450098991,0.25
 You understand why I did it?,NED,e1-Winter is Coming,season-01,Game-of-Thrones,2.7706220149993896,NEGATIVE,ned,,6.321390435099602,0.1111111111111111
